"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","diffexpressed","delabel"
"ZNF652",3.63160965062358e-79,-0.115143759421714,0.102,0.058,2.30828741003285e-74,"Brain","ZNF652","No",NA
"GTF2I",5.83971097271643e-75,-0.137268371157303,0.134,0.083,3.71177869136829e-70,"Brain","GTF2I","No",NA
"ATF6",1.09425600341345e-76,-0.139510473498695,0.141,0.087,6.95520058329625e-72,"Brain","ATF6","No",NA
"GATAD2A",1.8346341808575e-69,-0.143202705560973,0.124,0.077,1.16611183169484e-64,"Brain","GATAD2A","No",NA
"ID3.1",2.08604614095909e-134,-0.145304075200723,0.227,0.135,1.32591178765501e-129,"Brain","ID3","No",NA
"NR2F2.1",1.56656819419145e-42,-0.152415663857692,0.275,0.204,9.95726409910029e-38,"Brain","NR2F2","No",NA
"NCOR2",2.25850136665655e-50,-0.152584956274907,0.104,0.067,1.43552605366057e-45,"Brain","NCOR2","No",NA
"LCOR",8.14725120405912e-66,-0.154967874482185,0.121,0.075,5.17847433781202e-61,"Brain","LCOR","No",NA
"KLF7.1",2.15881929436127e-86,-0.161348475631423,0.144,0.087,1.37216713168897e-81,"Brain","KLF7","No",NA
"SMAD2",9.92626878072184e-50,-0.163463932074893,0.106,0.069,6.30923569971461e-45,"Brain","SMAD2","No",NA
"ARID1B.1",8.93011477723084e-63,-0.164665466150799,0.336,0.238,5.67607025355569e-58,"Brain","ARID1B","No",NA
"BAZ2B.1",1.41467055829339e-82,-0.171257513410993,0.33,0.226,8.99178753556862e-78,"Brain","BAZ2B","No",NA
"ZMIZ1.1",1.67375027702237e-79,-0.17741246884348,0.196,0.128,1.06385241357819e-74,"Brain","ZMIZ1","No",NA
"ARID4B.1",7.17902694019637e-83,-0.178016706571725,0.246,0.164,4.56306131345822e-78,"Brain","ARID4B","No",NA
"BBX.1",2.46180567671822e-48,-0.186148800179434,0.164,0.114,1.56474830617886e-43,"Brain","BBX","No",NA
"TBX3",3.37576033890339e-66,-0.226031751517747,0.1,0.06,2.14566702901038e-61,"Brain","TBX3","No",NA
"HIF1A.1",3.115889494354e-45,-0.227100353114319,0.153,0.107,1.98049052150635e-40,"Brain","HIF1A","No",NA
"PBX3",7.40432875223027e-35,-0.237245434568841,0.111,0.078,4.70626539820508e-30,"Brain","PBX3","No",NA
"RFX3",1.74277042455081e-57,-0.243043843147243,0.178,0.121,1.10772230954874e-52,"Brain","RFX3","No",NA
"ATF7",1.22926913614638e-47,-0.245616179468252,0.127,0.086,7.81335755626002e-43,"Brain","ATF7","No",NA
"SREBF2",4.3626687848661e-36,-0.247740582945467,0.118,0.083,2.77295590634874e-31,"Brain","SREBF2","No",NA
"ZNF407.1",1.3419774012422e-39,-0.258747314973631,0.13,0.091,8.52974256003552e-35,"Brain","ZNF407","No",NA
"JUND.1",4.38901872640563e-39,-0.259215030819235,0.145,0.103,2.78970419269068e-34,"Brain","JUND","No",NA
"ETS2",1.18992900323866e-43,-0.260913912510075,0.145,0.1,7.56330773748527e-39,"Brain","ETS2","No",NA
"SP100.1",8.05570001498849e-35,-0.263414875708078,0.127,0.09,5.12028348652684e-30,"Brain","SP100","No",NA
"AFF1.1",1.05949284156532e-65,-0.269041173862867,0.207,0.139,6.73424245027331e-61,"Brain","AFF1","No",NA
"LRRFIP2",3.16856193591883e-34,-0.28402158748004,0.109,0.076,2.01396965208937e-29,"Brain","LRRFIP2","No",NA
"RCOR1",6.37673556794792e-35,-0.287525219515421,0.118,0.082,4.05311689434338e-30,"Brain","RCOR1","No",NA
"LCORL.1",3.73812881936934e-56,-0.30163546138617,0.17,0.115,2.37599205887934e-51,"Brain","LCORL","No",NA
"AFF3",1.73819724197744e-119,-0.316425655146431,0.126,0.067,1.10481554897328e-114,"Brain","AFF3","No",NA
"NFIC.1",2.35308333191609e-23,-0.317632772871116,0.16,0.122,1.49564329659919e-18,"Brain","NFIC","No",NA
"ERG.1",2.57766599249343e-31,-0.318950599882214,0.276,0.208,1.63839028148875e-26,"Brain","ERG","No",NA
"ZNF280D.1",3.99012875258123e-31,-0.333764596128464,0.138,0.1,2.53616573642815e-26,"Brain","ZNF280D","No",NA
"HIVEP3.1",4.14169578978622e-34,-0.33468492454436,0.139,0.099,2.63250326094602e-29,"Brain","HIVEP3","No",NA
"ZNF704.1",3.945895131097e-30,-0.336324458811587,0.154,0.113,2.50805040427656e-25,"Brain","ZNF704","No",NA
"RERE.1",1.01777918933893e-10,-0.371939799107261,0.414,0.328,6.46910630535716e-06,"Brain","RERE","No",NA
"ZNF83",1.44758064470853e-16,-0.391625464293815,0.108,0.083,9.20096733583187e-12,"Brain","ZNF83","No",NA
"ELF1",6.88998331615557e-07,-0.418568818031633,0.102,0.086,0.0437934229558164,"Brain","ELF1","No",NA
"MEF2C.1",3.58780074100953e-06,-0.422835654811849,0.372,0.303,0.228044202899307,"Brain","MEF2C","No",NA
"TCF7L2.1",3.35907398697031e-16,-0.432898502671487,0.181,0.143,2.1350610168582e-11,"Brain","TCF7L2","No",NA
"TCF7L1.1",2.10741359437447e-10,-0.445983719197097,0.227,0.185,1.33949315472036e-05,"Brain","TCF7L1","No",NA
"MLLT10.1",8.0297079608357e-05,-0.459928196018149,0.137,0.118,1,"Brain","MLLT10","No",NA
"HMBOX1.1",2.0881259629387e-10,-0.460849326032779,0.168,0.136,1.32723374330347e-05,"Brain","HMBOX1","No",NA
"ZFP36L2.1",1.03510688814185e-05,-0.508483968173539,0.107,0.091,0.657924289171843,"Brain","ZFP36L2","No",NA
"ZBTB46",0.00715757231035959,-0.548009166849605,0.128,0.113,1,"Brain","ZBTB46","No",NA
"LRRFIP1.1",7.56393323827492e-19,-0.77783014670274,0.147,0.163,4.80771160557992e-14,"Brain","LRRFIP1","Down","LRRFIP1"
"PBX1.1",0.00627031209072404,-0.817840117470604,0.266,0.238,1,"Brain","PBX1","No",NA
"NFIB.1",1.62516211007599e-107,-0.828219070836131,0.433,0.435,1.0329692887854e-102,"Brain","NFIB","Down","NFIB"
"ZFPM2.1",7.86706203575998e-13,-0.83418115645624,0.178,0.183,5.0003833005494e-08,"Brain","ZFPM2","Down","ZFPM2"
"ELK3",2.95044291653891e-31,-0.887653912410449,0.218,0.232,1.8753310221813e-26,"Brain","ELK3","Down","ELK3"
"ZBTB20.1",6.84504107300731e-61,-0.920160502779875,0.255,0.282,4.35077655641418e-56,"Brain","ZBTB20","Down","ZBTB20"
"FOXO1",2.80777948285717e-61,-1.01566973340465,0.156,0.194,1.78465271709885e-56,"Brain","FOXO1","Down","FOXO1"
"ZNF521.1",1.07088834567013e-117,-1.22842018216492,0.185,0.243,6.80667341391393e-113,"Brain","ZNF521","Down","ZNF521"
"TSHZ2.1",1.68858496184527e-118,-1.28364374450868,0.059,0.115,1.07328148759847e-113,"Brain","TSHZ2","Down","TSHZ2"
"NPAS3.1",1.80536762643923e-155,-1.3140077846792,0.065,0.134,1.14750971704104e-150,"Brain","NPAS3","Down","NPAS3"
"HIF3A.1",5.52693063204338e-189,-1.33052935988189,0.057,0.134,3.51297237903309e-184,"Brain","HIF3A","Down","HIF3A"
"MAF.1",7.69947044890618e-304,-1.80341668623663,0.039,0.14,4.89386041202926e-299,"Brain","MAF","Down","MAF"
"RARB.1",0,-1.80563488611816,0.01,0.113,0,"Brain","RARB","Down","RARB"
"MEIS2.1",0,-2.83191914640538,0.044,0.29,0,"Brain","MEIS2","Down","MEIS2"
